zip,stabbr,cty_name
00501,NY,SUFFOLK
01001,MA,HAMPDEN
01002,MA,HAMPSHIRE
01003,MA,HAMPSHIRE
01004,MA,HAMPSHIRE
01005,MA,WORCESTER
01007,MA,HAMPSHIRE
01008,MA,HAMPDEN
01009,MA,HAMPDEN
01010,MA,HAMPDEN
01011,MA,HAMPDEN
01012,MA,HAMPSHIRE
01013,MA,HAMPDEN
01014,MA,HAMPDEN
01020,MA,HAMPDEN
01021,MA,HAMPDEN
01022,MA,HAMPDEN
01026,MA,HAMPSHIRE
01027,MA,HAMPSHIRE
01028,MA,HAMPDEN
01029,MA,BERKSHIRE
01030,MA,HAMPDEN
01031,MA,WORCESTER
01032,MA,HAMPSHIRE
01033,MA,HAMPSHIRE
01034,MA,HAMPDEN
01035,MA,HAMPSHIRE
01036,MA,HAMPDEN
01037,MA,WORCESTER
01038,MA,HAMPSHIRE
01039,MA,HAMPSHIRE
01040,MA,HAMPDEN
01041,MA,HAMPDEN
01050,MA,HAMPSHIRE
01053,MA,HAMPSHIRE
01054,MA,FRANKLIN
01056,MA,HAMPDEN
01057,MA,HAMPDEN
01059,MA,HAMPSHIRE
01060,MA,HAMPSHIRE
01061,MA,HAMPSHIRE
01062,MA,HAMPSHIRE
01063,MA,HAMPSHIRE
01066,MA,HAMPSHIRE
01068,MA,WORCESTER
01069,MA,HAMPDEN
01070,MA,HAMPSHIRE
01071,MA,HAMPDEN
01072,MA,FRANKLIN
01073,MA,HAMPSHIRE
01074,MA,WORCESTER
01075,MA,HAMPSHIRE
01077,MA,HAMPDEN
01079,MA,HAMPDEN
01080,MA,HAMPDEN
01081,MA,HAMPDEN
01082,MA,HAMPSHIRE
01083,MA,WORCESTER
01084,MA,HAMPSHIRE
01085,MA,HAMPDEN
01086,MA,HAMPDEN
01088,MA,HAMPSHIRE
01089,MA,HAMPDEN
01090,MA,HAMPDEN
01092,MA,WORCESTER
01093,MA,FRANKLIN
01094,MA,WORCESTER
01095,MA,HAMPDEN
01096,MA,HAMPSHIRE
01098,MA,HAMPSHIRE
01101,MA,HAMPDEN
01102,MA,HAMPDEN
01103,MA,HAMPDEN
01104,MA,HAMPDEN
01105,MA,HAMPDEN
01106,MA,HAMPDEN
01107,MA,HAMPDEN
01108,MA,HAMPDEN
01109,MA,HAMPDEN
01111,MA,HAMPDEN
01115,MA,HAMPDEN
01116,MA,HAMPDEN
01118,MA,HAMPDEN
01119,MA,HAMPDEN
01128,MA,HAMPDEN
01129,MA,HAMPDEN
01138,MA,HAMPDEN
01139,MA,HAMPDEN
01144,MA,HAMPDEN
01151,MA,HAMPDEN
01152,MA,HAMPDEN
01199,MA,HAMPDEN
01201,MA,BERKSHIRE
01202,MA,BERKSHIRE
01203,MA,BERKSHIRE
01220,MA,BERKSHIRE
01222,MA,BERKSHIRE
01223,MA,BERKSHIRE
01224,MA,BERKSHIRE
01225,MA,BERKSHIRE
01226,MA,BERKSHIRE
01227,MA,BERKSHIRE
01229,MA,BERKSHIRE
01230,MA,BERKSHIRE
01235,MA,BERKSHIRE
01236,MA,BERKSHIRE
01237,MA,BERKSHIRE
01238,MA,BERKSHIRE
01240,MA,BERKSHIRE
01242,MA,BERKSHIRE
01243,MA,HAMPSHIRE
01244,MA,BERKSHIRE
01245,MA,BERKSHIRE
01247,MA,BERKSHIRE
01252,MA,BERKSHIRE
01253,MA,BERKSHIRE
01254,MA,BERKSHIRE
01255,MA,BERKSHIRE
01256,MA,BERKSHIRE
01257,MA,BERKSHIRE
01258,MA,BERKSHIRE
01259,MA,BERKSHIRE
01260,MA,BERKSHIRE
01262,MA,BERKSHIRE
01264,MA,BERKSHIRE
01266,MA,BERKSHIRE
01267,MA,BERKSHIRE
01270,MA,BERKSHIRE
01301,MA,FRANKLIN
01302,MA,FRANKLIN
01330,MA,FRANKLIN
01331,MA,WORCESTER
01337,MA,FRANKLIN
01338,MA,FRANKLIN
01339,MA,FRANKLIN
01340,MA,FRANKLIN
01341,MA,FRANKLIN
01342,MA,FRANKLIN
01343,MA,BERKSHIRE
01344,MA,FRANKLIN
01346,MA,FRANKLIN
01347,MA,FRANKLIN
01349,MA,FRANKLIN
01350,MA,FRANKLIN
01351,MA,FRANKLIN
01354,MA,FRANKLIN
01355,MA,FRANKLIN
01360,MA,FRANKLIN
01364,MA,FRANKLIN
01366,MA,WORCESTER
01367,MA,FRANKLIN
01368,MA,WORCESTER
01370,MA,FRANKLIN
01373,MA,FRANKLIN
01375,MA,FRANKLIN
